epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,234.653,1.17044,0.86983,1.09362,0.77974,0.59444,0.71616,0.44614,1.35902,1.33093,1.2503,0.00105188,0.00105188,0.00105188
43,239.759,1.21276,0.85369,1.10227,0.72165,0.64363,0.73066,0.46301,1.39386,1.29219,1.26408,0.00103687,0.00103687,0.00103687
44,244.478,1.18141,0.80975,1.08989,0.72131,0.68611,0.76081,0.44698,1.53866,1.1265,1.33329,0.00102187,0.00102187,0.00102187
45,249.246,1.15466,0.76505,1.0795,0.89365,0.66566,0.79057,0.48009,1.37679,1.03491,1.21315,0.00100687,0.00100687,0.00100687
46,255.01,1.14591,0.78136,1.08671,0.68158,0.75581,0.71676,0.42813,1.36702,1.14997,1.22062,0.000991865,0.000991865,0.000991865
47,259.525,1.12031,0.76931,1.06235,0.74988,0.7329,0.77379,0.44651,1.4329,1.09656,1.26775,0.000976862,0.000976862,0.000976862
48,265.526,1.18016,0.79089,1.04962,0.74935,0.7096,0.72721,0.43373,1.46871,1.10111,1.31251,0.000961859,0.000961859,0.000961859
49,269.984,1.13723,0.7646,1.04122,0.83675,0.63611,0.74391,0.45731,1.38035,1.00131,1.20843,0.000946856,0.000946856,0.000946856
50,274.483,1.10735,0.77491,1.08234,0.69488,0.71041,0.75802,0.48461,1.43336,1.11105,1.26659,0.000931853,0.000931853,0.000931853
51,280.384,1.11378,0.78854,1.03052,0.81617,0.6553,0.754,0.47843,1.38954,1.06851,1.21192,0.00091685,0.00091685,0.00091685
52,284.577,1.10699,0.72767,1.04508,0.67915,0.68687,0.70947,0.43911,1.37135,1.05344,1.22733,0.000901847,0.000901847,0.000901847
53,289.072,1.09457,0.75371,1.05997,0.75778,0.67298,0.75933,0.46438,1.38071,1.03678,1.22898,0.000886844,0.000886844,0.000886844
54,295.266,1.06977,0.71824,1.05435,0.75483,0.70754,0.76492,0.48347,1.33745,1.08425,1.2174,0.000871841,0.000871841,0.000871841
55,300.039,1.06209,0.7273,1.02942,0.8559,0.65361,0.74712,0.48188,1.30946,1.06546,1.21212,0.000856838,0.000856838,0.000856838
56,304.579,1.098,0.72219,1.05962,0.8859,0.63611,0.75009,0.48457,1.38421,1.03456,1.23242,0.000841835,0.000841835,0.000841835
57,310.452,1.04838,0.70697,1.03161,0.78205,0.67284,0.73764,0.47169,1.32839,1.10046,1.21041,0.000826832,0.000826832,0.000826832
58,314.943,1.12554,0.69036,1.06067,0.77036,0.67399,0.74247,0.47082,1.3563,1.18328,1.17352,0.000811829,0.000811829,0.000811829
59,319.607,1.0675,0.68172,1.03369,0.67667,0.66728,0.71939,0.46991,1.38245,1.50612,1.22811,0.000796826,0.000796826,0.000796826
60,325.387,1.10326,0.72887,1.08888,0.87241,0.68601,0.7553,0.47771,1.35153,1.25596,1.2201,0.000781823,0.000781823,0.000781823
61,330.1,1.08803,0.72037,1.04562,0.8799,0.66374,0.7616,0.48113,1.41886,1.18837,1.29305,0.00076682,0.00076682,0.00076682
62,335.406,1.08131,0.69081,1.05424,0.82902,0.67753,0.77702,0.4828,1.36154,1.08526,1.20556,0.000751817,0.000751817,0.000751817
63,341.339,1.08512,0.68169,1.03136,0.79193,0.74944,0.77836,0.47215,1.38223,0.99131,1.24059,0.000736814,0.000736814,0.000736814
64,345.905,1.07694,0.66849,1.0269,0.85706,0.73932,0.80834,0.48355,1.48039,0.94706,1.32931,0.000721811,0.000721811,0.000721811
65,351.719,1.06455,0.66132,1.02935,0.83787,0.74581,0.8096,0.51327,1.36863,0.91573,1.25206,0.000706808,0.000706808,0.000706808
66,356.642,1.05069,0.64948,1.02499,0.78654,0.7715,0.81628,0.50546,1.43202,0.92877,1.30105,0.000691805,0.000691805,0.000691805
67,361.215,1.07926,0.64703,1.02709,0.86811,0.73955,0.80208,0.49481,1.43398,1,1.29376,0.000676802,0.000676802,0.000676802
68,367.239,1.04583,0.65314,1.02262,0.8547,0.62732,0.75165,0.4535,1.38147,1.23266,1.25397,0.000661799,0.000661799,0.000661799
69,372.553,1.03227,0.65867,1.01259,0.90162,0.64949,0.77711,0.47544,1.4826,1.04855,1.30821,0.000646796,0.000646796,0.000646796
70,378.126,1.05366,0.65374,1.03335,0.90003,0.67778,0.79936,0.4896,1.41536,0.90542,1.25936,0.000631793,0.000631793,0.000631793
71,383.425,1.05491,0.63695,1.01536,0.83815,0.69167,0.77975,0.48151,1.42192,1.01488,1.25815,0.00061679,0.00061679,0.00061679
72,388.157,1.04188,0.64011,1.0246,0.76055,0.74264,0.78383,0.48713,1.3746,1.02418,1.25295,0.000601787,0.000601787,0.000601787
73,392.879,1.04164,0.62736,1.01412,0.81143,0.69237,0.77357,0.48424,1.36991,1.01112,1.27363,0.000586784,0.000586784,0.000586784
74,398.147,1.01104,0.60827,1.01287,0.75367,0.72864,0.78456,0.48538,1.35576,1.02994,1.21923,0.000571781,0.000571781,0.000571781
75,403.089,1.0304,0.61221,1.04439,0.70689,0.75855,0.74606,0.47703,1.389,1.10475,1.24091,0.000556778,0.000556778,0.000556778
76,409.084,0.99954,0.6055,1.02807,0.74667,0.74624,0.77219,0.48597,1.33643,0.95233,1.20377,0.000541775,0.000541775,0.000541775
77,413.831,0.98249,0.58824,0.99138,0.8442,0.70848,0.79222,0.49399,1.32402,0.90897,1.20354,0.000526772,0.000526772,0.000526772
78,418.338,1.02608,0.62226,1.00441,0.76502,0.78785,0.79292,0.48246,1.36234,0.98613,1.23404,0.000511769,0.000511769,0.000511769
79,424.311,0.99411,0.60572,1.00191,0.74932,0.73857,0.77632,0.49923,1.3467,0.98888,1.22738,0.000496766,0.000496766,0.000496766
80,429.181,0.96889,0.57989,0.98583,0.79328,0.76286,0.80429,0.50583,1.34732,0.84627,1.24205,0.000481763,0.000481763,0.000481763
81,433.509,0.9488,0.59076,0.97911,0.79985,0.74621,0.80223,0.51556,1.30193,0.88913,1.20329,0.00046676,0.00046676,0.00046676
82,439.632,0.98284,0.59232,0.989,0.87842,0.70859,0.7988,0.51743,1.30367,0.96059,1.2045,0.000451757,0.000451757,0.000451757
83,443.989,0.97585,0.59138,0.99573,0.7697,0.72321,0.76411,0.48997,1.32695,1.11947,1.22021,0.000436754,0.000436754,0.000436754
84,448.46,0.96466,0.59673,0.98495,0.71126,0.71232,0.7326,0.47195,1.37156,1.17,1.24834,0.000421751,0.000421751,0.000421751
85,455.223,0.95938,0.59059,0.98966,0.71118,0.69167,0.74232,0.47187,1.39192,1.10769,1.26619,0.000406748,0.000406748,0.000406748
86,459.604,1.0043,0.59335,0.98854,0.78928,0.7085,0.76513,0.47083,1.38774,1.02489,1.26546,0.000391745,0.000391745,0.000391745
87,465.487,0.91936,0.56926,0.98053,0.88816,0.66023,0.77076,0.47639,1.40461,0.97872,1.28749,0.000376742,0.000376742,0.000376742
88,470.417,0.94243,0.55785,0.96246,0.8392,0.68697,0.75636,0.48298,1.3914,0.96996,1.2764,0.000361739,0.000361739,0.000361739
89,474.975,0.93291,0.54431,0.9865,0.81501,0.68688,0.76753,0.48323,1.42642,1.00361,1.30814,0.000346736,0.000346736,0.000346736
90,480.869,0.9843,0.59072,0.98117,0.73534,0.75152,0.77004,0.48475,1.44368,1.00628,1.34028,0.000331733,0.000331733,0.000331733
91,488.106,0.93087,0.56529,0.99588,0.76308,0.71848,0.74956,0.47188,1.42956,1.06206,1.29523,0.00031673,0.00031673,0.00031673
92,494.066,0.91226,0.54848,0.99126,0.74086,0.69544,0.72731,0.46225,1.4194,1.10208,1.30215,0.000301727,0.000301727,0.000301727
93,499.636,0.92343,0.5426,1.00545,0.77688,0.68907,0.73261,0.46608,1.42083,1.08826,1.2911,0.000286724,0.000286724,0.000286724
94,504.327,0.92661,0.52595,0.98528,0.75626,0.74025,0.76423,0.47721,1.37409,1.06247,1.2257,0.000271721,0.000271721,0.000271721
95,509.58,0.88393,0.49822,0.96789,0.81154,0.66088,0.76273,0.48361,1.4037,1.05837,1.25308,0.000256718,0.000256718,0.000256718
96,514.812,0.93353,0.50729,0.98327,0.86084,0.64921,0.77467,0.49107,1.39637,1.04443,1.26284,0.000241715,0.000241715,0.000241715
97,519.015,0.87363,0.50522,0.96854,0.85815,0.65796,0.78661,0.49909,1.41067,1.02181,1.25003,0.000226712,0.000226712,0.000226712
98,525.311,0.87867,0.50015,0.97437,0.90907,0.67778,0.80287,0.4957,1.42982,0.93424,1.2776,0.000211709,0.000211709,0.000211709
99,529.903,0.87388,0.49933,0.96692,0.87975,0.69167,0.80917,0.49794,1.44292,0.8998,1.30918,0.000196706,0.000196706,0.000196706
100,534.312,0.86819,0.48873,0.96465,0.77672,0.76513,0.80737,0.50632,1.42722,0.95385,1.26312,0.000181703,0.000181703,0.000181703
