epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,227.417,1.23585,0.91392,1.11684,0.86574,0.54985,0.70596,0.42729,1.43405,1.25104,1.29605,0.00135944,0.00135944,0.00135944
43,233.124,1.22669,0.88609,1.11286,0.73344,0.59874,0.67364,0.4042,1.50932,1.36464,1.3997,0.00135194,0.00135194,0.00135194
44,237.295,1.2376,0.82391,1.12062,0.75859,0.72068,0.71767,0.42284,1.50326,1.28484,1.33916,0.00134444,0.00134444,0.00134444
45,241.303,1.20732,0.81671,1.10459,0.89564,0.63876,0.72397,0.42866,1.51591,1.14736,1.34284,0.00133693,0.00133693,0.00133693
46,247.076,1.18996,0.88396,1.10946,0.68604,0.72306,0.72627,0.43713,1.37153,1.03989,1.25537,0.00132943,0.00132943,0.00132943
47,251.29,1.17784,0.81357,1.10081,0.71196,0.70985,0.72018,0.42786,1.45775,1.03932,1.32671,0.00132193,0.00132193,0.00132193
48,256.036,1.22508,0.82818,1.07587,0.62843,0.74192,0.6816,0.38075,1.59153,1.2328,1.39324,0.00131443,0.00131443,0.00131443
49,261.324,1.17901,0.82553,1.06906,0.66769,0.68258,0.7479,0.45313,1.49092,1.22244,1.32988,0.00130693,0.00130693,0.00130693
50,265.76,1.1701,0.834,1.11886,0.71099,0.69646,0.75418,0.46238,1.39726,1.15308,1.2326,0.00129943,0.00129943,0.00129943
51,270.229,1.17208,0.816,1.05801,0.71948,0.73988,0.74641,0.47198,1.37885,1.11421,1.22473,0.00129193,0.00129193,0.00129193
52,275.731,1.15912,0.76146,1.07082,0.72736,0.66919,0.70403,0.44169,1.46321,1.20278,1.3353,0.00128442,0.00128442,0.00128442
53,279.655,1.12364,0.77627,1.08451,0.66532,0.67687,0.70249,0.42905,1.47408,1.37464,1.35606,0.00127692,0.00127692,0.00127692
